Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
102.00	393.00	460.90	0.0021697	-55.238	30.029	-0.54635	2.1902	3.2389	1687.8	-0.051202	0.00022602	0.23134	liquid
103.00	393.00	459.84	0.0021747	-52.197	33.268	-0.51475	2.1856	3.2393	1681.2	-0.051119	0.00021934	0.23029	liquid
104.00	393.00	458.77	0.0021797	-49.156	36.507	-0.48345	2.1811	3.2397	1674.6	-0.051033	0.00021304	0.22923	liquid
105.00	393.00	457.71	0.0021848	-46.115	39.747	-0.45244	2.1767	3.2402	1668.0	-0.050946	0.00020708	0.22816	liquid
106.00	393.00	456.64	0.0021899	-43.075	42.988	-0.42173	2.1722	3.2407	1661.4	-0.050856	0.00020145	0.22709	liquid
107.00	393.00	455.58	0.0021950	-40.036	46.229	-0.39130	2.1679	3.2412	1654.8	-0.050764	0.00019611	0.22600	liquid
108.00	393.00	454.51	0.0022002	-36.996	49.470	-0.36114	2.1635	3.2417	1648.2	-0.050669	0.00019104	0.22491	liquid
109.00	393.00	453.44	0.0022053	-33.958	52.712	-0.33126	2.1592	3.2423	1641.6	-0.050573	0.00018623	0.22382	liquid
110.00	393.00	452.38	0.0022105	-30.920	55.955	-0.30165	2.1550	3.2428	1635.0	-0.050475	0.00018166	0.22272	liquid
111.00	393.00	451.31	0.0022158	-27.882	59.198	-0.27230	2.1508	3.2434	1628.4	-0.050375	0.00017730	0.22161	liquid
112.00	393.00	450.24	0.0022210	-24.845	62.442	-0.24321	2.1466	3.2439	1621.8	-0.050273	0.00017315	0.22050	liquid
113.00	393.00	449.17	0.0022263	-21.809	65.686	-0.21437	2.1424	3.2445	1615.2	-0.050169	0.00016918	0.21938	liquid
114.00	393.00	448.10	0.0022316	-18.773	68.930	-0.18578	2.1383	3.2450	1608.6	-0.050063	0.00016540	0.21827	liquid
115.00	393.00	447.03	0.0022370	-15.737	72.176	-0.15744	2.1341	3.2456	1602.0	-0.049955	0.00016178	0.21715	liquid
116.00	393.00	445.96	0.0022423	-12.702	75.422	-0.12934	2.1301	3.2461	1595.4	-0.049845	0.00015831	0.21602	liquid
117.00	393.00	444.89	0.0022477	-9.6679	78.668	-0.10147	2.1260	3.2467	1588.8	-0.049733	0.00015499	0.21490	liquid
