Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
102.00	424.00	462.49	0.0021622	-56.502	35.175	-0.56172	2.1958	3.2316	1704.1	-0.051427	0.00023218	0.23377	liquid
103.00	424.00	461.44	0.0021671	-53.478	38.407	-0.53019	2.1913	3.2318	1697.7	-0.051352	0.00022521	0.23273	liquid
104.00	424.00	460.40	0.0021720	-50.456	41.639	-0.49896	2.1868	3.2321	1691.2	-0.051275	0.00021865	0.23169	liquid
105.00	424.00	459.35	0.0021770	-47.434	44.871	-0.46803	2.1824	3.2324	1684.8	-0.051196	0.00021245	0.23063	liquid
106.00	424.00	458.30	0.0021820	-44.413	48.104	-0.43739	2.1780	3.2327	1678.3	-0.051115	0.00020658	0.22957	liquid
107.00	424.00	457.25	0.0021870	-41.392	51.337	-0.40704	2.1737	3.2330	1671.9	-0.051032	0.00020104	0.22850	liquid
108.00	424.00	456.20	0.0021920	-38.372	54.570	-0.37696	2.1694	3.2334	1665.4	-0.050947	0.00019578	0.22743	liquid
109.00	424.00	455.15	0.0021971	-35.353	57.803	-0.34716	2.1651	3.2337	1658.9	-0.050861	0.00019078	0.22635	liquid
110.00	424.00	454.10	0.0022022	-32.335	61.037	-0.31762	2.1609	3.2341	1652.5	-0.050772	0.00018604	0.22526	liquid
111.00	424.00	453.05	0.0022073	-29.317	64.271	-0.28835	2.1567	3.2344	1646.0	-0.050682	0.00018153	0.22417	liquid
112.00	424.00	452.00	0.0022124	-26.300	67.506	-0.25934	2.1525	3.2348	1639.5	-0.050590	0.00017723	0.22307	liquid
113.00	424.00	450.95	0.0022176	-23.283	70.741	-0.23059	2.1484	3.2351	1633.1	-0.050496	0.00017313	0.22197	liquid
114.00	424.00	449.90	0.0022227	-20.268	73.976	-0.20208	2.1443	3.2355	1626.6	-0.050401	0.00016922	0.22087	liquid
115.00	424.00	448.84	0.0022279	-17.253	77.212	-0.17382	2.1402	3.2359	1620.2	-0.050303	0.00016548	0.21976	liquid
116.00	424.00	447.79	0.0022332	-14.239	80.448	-0.14581	2.1361	3.2362	1613.7	-0.050204	0.00016191	0.21865	liquid
117.00	424.00	446.74	0.0022384	-11.225	83.684	-0.11803	2.1321	3.2366	1607.3	-0.050103	0.00015848	0.21754	liquid
118.00	424.00	445.69	0.0022437	-8.2125	86.921	-0.090480	2.1281	3.2369	1600.9	-0.050001	0.00015520	0.21642	liquid
119.00	424.00	444.64	0.0022490	-5.2006	90.158	-0.063162	2.1241	3.2373	1594.5	-0.049896	0.00015206	0.21531	liquid
120.00	424.00	443.58	0.0022544	-2.1896	93.396	-0.036071	2.1202	3.2376	1588.0	-0.049790	0.00014904	0.21419	liquid
121.00	424.00	442.53	0.0022597	0.82062	96.634	-0.0092009	2.1162	3.2379	1581.6	-0.049681	0.00014613	0.21307	liquid
122.00	424.00	441.48	0.0022651	3.8300	99.872	0.017450	2.1123	3.2383	1575.2	-0.049571	0.00014334	0.21195	liquid
123.00	424.00	440.42	0.0022706	6.8385	103.11	0.043887	2.1085	3.2386	1568.9	-0.049459	0.00014066	0.21084	liquid
124.00	424.00	439.37	0.0022760	9.8462	106.35	0.070112	2.1046	3.2390	1562.5	-0.049345	0.00013807	0.20972	liquid
125.00	424.00	438.31	0.0022815	12.853	109.59	0.096129	2.1008	3.2393	1556.1	-0.049229	0.00013557	0.20860	liquid
126.00	424.00	437.25	0.0022870	15.859	112.83	0.12194	2.0969	3.2396	1549.8	-0.049111	0.00013317	0.20748	liquid
127.00	424.00	436.20	0.0022925	18.864	116.07	0.14755	2.0932	3.2400	1543.4	-0.048991	0.00013084	0.20636	liquid
128.00	424.00	435.14	0.0022981	21.868	119.31	0.17297	2.0894	3.2403	1537.1	-0.048868	0.00012860	0.20525	liquid
129.00	424.00	434.08	0.0023037	24.871	122.55	0.19818	2.0857	3.2406	1530.8	-0.048744	0.00012643	0.20413	liquid
130.00	424.00	433.03	0.0023093	27.873	125.79	0.22321	2.0819	3.2410	1524.4	-0.048617	0.00012433	0.20302	liquid
131.00	424.00	431.97	0.0023150	30.874	129.03	0.24805	2.0783	3.2413	1518.2	-0.048489	0.00012229	0.20191	liquid
132.00	424.00	430.91	0.0023207	33.874	132.27	0.27270	2.0746	3.2416	1511.9	-0.048358	0.00012032	0.20080	liquid
133.00	424.00	429.85	0.0023264	36.874	135.51	0.29716	2.0710	3.2420	1505.6	-0.048225	0.00011842	0.19969	liquid
134.00	424.00	428.79	0.0023322	39.872	138.76	0.32145	2.0674	3.2423	1499.4	-0.048089	0.00011657	0.19859	liquid
135.00	424.00	427.73	0.0023379	42.869	142.00	0.34556	2.0638	3.2427	1493.1	-0.047951	0.00011477	0.19749	liquid
136.00	424.00	426.67	0.0023438	45.866	145.24	0.36949	2.0602	3.2431	1486.9	-0.047811	0.00011303	0.19639	liquid
137.00	424.00	425.60	0.0023496	48.861	148.48	0.39325	2.0567	3.2434	1480.7	-0.047669	0.00011134	0.19529	liquid
138.00	424.00	424.54	0.0023555	51.855	151.73	0.41684	2.0532	3.2438	1474.5	-0.047524	0.00010969	0.19420	liquid
139.00	424.00	423.48	0.0023614	54.848	154.97	0.44026	2.0497	3.2442	1468.3	-0.047376	0.00010810	0.19311	liquid
140.00	424.00	422.41	0.0023673	57.840	158.22	0.46352	2.0463	3.2446	1462.1	-0.047226	0.00010654	0.19202	liquid
