Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	143.00	1298.5	0.00077010	-186.32	-175.31	2.2205	1.0940	1.6452	1165.7	-0.037854	0.00064588	0.19964	liquid
63.233	143.00	1285.1	0.00077818	-181.10	-169.97	2.3070	1.0732	1.6518	1150.7	-0.037395	0.00055499	0.19549	liquid
66.467	143.00	1271.5	0.00078650	-175.88	-164.63	2.3895	1.0564	1.6539	1131.4	-0.037074	0.00048193	0.19134	liquid
69.700	143.00	1257.8	0.00079504	-170.65	-159.28	2.4680	1.0411	1.6530	1109.9	-0.036820	0.00042275	0.18719	liquid
72.933	143.00	1244.1	0.00080379	-165.44	-153.94	2.5429	1.0264	1.6507	1087.6	-0.036579	0.00037437	0.18304	liquid
76.167	143.00	1230.4	0.00081277	-160.23	-148.61	2.6145	1.0122	1.6479	1064.8	-0.036316	0.00033444	0.17890	liquid
79.400	143.00	1216.6	0.00082199	-155.04	-143.28	2.6829	0.99843	1.6454	1042.0	-0.036006	0.00030113	0.17475	liquid
82.633	143.00	1202.7	0.00083148	-149.86	-137.97	2.7486	0.98504	1.6436	1019.2	-0.035632	0.00027307	0.17061	liquid
85.867	143.00	1188.7	0.00084124	-144.68	-132.65	2.8116	0.97211	1.6427	996.54	-0.035182	0.00024920	0.16646	liquid
89.100	143.00	1174.7	0.00085132	-139.52	-127.34	2.8723	0.95965	1.6428	973.93	-0.034645	0.00022867	0.16230	liquid
92.333	143.00	1160.5	0.00086173	-134.35	-122.03	2.9309	0.94770	1.6441	951.40	-0.034014	0.00021086	0.15814	liquid
95.567	143.00	1146.1	0.00087251	-129.19	-116.71	2.9875	0.93623	1.6465	928.92	-0.033281	0.00019525	0.15398	liquid
98.800	143.00	1131.6	0.00088370	-124.02	-111.38	3.0424	0.92526	1.6502	906.47	-0.032437	0.00018145	0.14981	liquid
102.03	143.00	1116.9	0.00089533	-118.84	-106.04	3.0956	0.91475	1.6551	884.04	-0.031472	0.00016916	0.14564	liquid
105.27	143.00	1102.0	0.00090745	-113.65	-100.68	3.1473	0.90470	1.6613	861.59	-0.030377	0.00015811	0.14146	liquid
108.50	143.00	1086.8	0.00092009	-108.45	-95.293	3.1977	0.89510	1.6688	839.11	-0.029140	0.00014810	0.13730	liquid
111.73	143.00	1071.4	0.00093332	-103.23	-89.883	3.2468	0.88592	1.6777	816.58	-0.027745	0.00013898	0.13313	liquid
114.97	143.00	1055.8	0.00094719	-97.987	-84.442	3.2948	0.87716	1.6881	793.99	-0.026176	0.00013061	0.12899	liquid
118.20	143.00	1039.8	0.00096177	-92.718	-78.965	3.3418	0.86881	1.7000	771.31	-0.024414	0.00012289	0.12486	liquid
121.43	143.00	1023.4	0.00097713	-87.420	-73.447	3.3879	0.86086	1.7136	748.54	-0.022435	0.00011574	0.12076	liquid
124.67	143.00	1006.7	0.00099336	-82.087	-67.882	3.4331	0.85331	1.7291	725.67	-0.020210	0.00010907	0.11667	liquid
127.90	143.00	989.55	0.0010106	-76.714	-62.263	3.4776	0.84616	1.7467	702.68	-0.017709	0.00010283	0.11261	liquid
131.13	143.00	971.95	0.0010289	-71.297	-56.584	3.5214	0.83942	1.7665	679.57	-0.014892	9.6978e-05	0.10859	liquid
134.37	143.00	953.86	0.0010484	-65.828	-50.837	3.5647	0.83309	1.7889	656.34	-0.011713	9.1470e-05	0.10460	liquid
137.60	143.00	935.20	0.0010693	-60.303	-45.012	3.6076	0.82720	1.8142	632.97	-0.0081186	8.6273e-05	0.10066	liquid
140.83	143.00	915.94	0.0010918	-54.713	-39.101	3.6500	0.82174	1.8428	609.48	-0.0040442	8.1359e-05	0.096772	liquid
144.07	143.00	895.99	0.0011161	-49.051	-33.091	3.6922	0.81676	1.8751	585.88	0.00058678	7.6706e-05	0.092940	liquid
147.30	143.00	875.30	0.0011425	-43.308	-26.971	3.7342	0.81226	1.9117	562.20	0.0058648	7.2292e-05	0.089175	liquid
150.53	143.00	853.77	0.0011713	-37.473	-20.724	3.7762	0.80827	1.9530	538.46	0.011896	6.8103e-05	0.085482	liquid
153.77	143.00	831.32	0.0012029	-31.537	-14.335	3.8182	0.80482	1.9997	514.73	0.018805	6.4122e-05	0.081870	liquid
157.00	143.00	807.85	0.0012379	-25.488	-7.7867	3.8603	0.80192	2.0522	491.10	0.026732	6.0339e-05	0.078346	supercritical
160.23	143.00	783.26	0.0012767	-19.315	-1.0580	3.9027	0.79956	2.1109	467.71	0.035832	5.6744e-05	0.074916	supercritical
163.47	143.00	757.48	0.0013202	-13.008	5.8706	3.9455	0.79773	2.1758	444.73	0.046268	5.3328e-05	0.071588	supercritical
166.70	143.00	730.43	0.0013691	-6.5592	13.018	3.9888	0.79633	2.2462	422.41	0.058187	5.0087e-05	0.068367	supercritical
169.93	143.00	702.10	0.0014243	0.031756	20.399	4.0327	0.79523	2.3196	401.04	0.071686	4.7018e-05	0.065257	supercritical
173.17	143.00	672.57	0.0014868	6.7549	28.017	4.0771	0.79428	2.3916	380.98	0.086751	4.4124e-05	0.062262	supercritical
176.40	143.00	642.04	0.0015575	13.583	35.856	4.1219	0.79326	2.4554	362.66	0.10320	4.1414e-05	0.059384	supercritical
179.63	143.00	610.90	0.0016369	20.469	43.877	4.1670	0.79194	2.5027	346.44	0.12065	3.8899e-05	0.056629	supercritical
182.87	143.00	579.68	0.0017251	27.346	52.014	4.2119	0.79010	2.5263	332.60	0.13857	3.6597e-05	0.054007	supercritical
186.10	143.00	549.01	0.0018215	34.136	60.183	4.2562	0.78752	2.5215	321.25	0.15633	3.4521e-05	0.051532	supercritical
189.33	143.00	519.51	0.0019249	40.762	68.288	4.2994	0.78404	2.4872	312.33	0.17323	3.2681e-05	0.049223	supercritical
192.57	143.00	491.70	0.0020338	47.156	76.238	4.3410	0.77969	2.4265	305.63	0.18862	3.1077e-05	0.047099	supercritical
195.80	143.00	465.93	0.0021463	53.267	83.958	4.3808	0.77460	2.3461	300.88	0.20204	2.9701e-05	0.045174	supercritical
199.03	143.00	442.35	0.0022607	59.070	91.398	4.4184	0.76902	2.2545	297.75	0.21326	2.8536e-05	0.043456	supercritical
202.27	143.00	420.96	0.0023755	64.564	98.534	4.4540	0.76319	2.1593	295.91	0.22230	2.7561e-05	0.041943	supercritical
205.50	143.00	401.64	0.0024898	69.759	105.36	4.4875	0.75734	2.0659	295.07	0.22930	2.6751e-05	0.040624	supercritical
208.73	143.00	384.21	0.0026027	74.680	111.90	4.5191	0.75162	1.9778	295.00	0.23449	2.6081e-05	0.039483	supercritical
211.97	143.00	368.46	0.0027140	79.350	118.16	4.5488	0.74615	1.8964	295.51	0.23812	2.5529e-05	0.038499	supercritical
215.20	143.00	354.20	0.0028233	83.798	124.17	4.5770	0.74097	1.8224	296.46	0.24043	2.5077e-05	0.037655	supercritical
218.43	143.00	341.24	0.0029305	88.047	129.95	4.6037	0.73614	1.7555	297.74	0.24163	2.4708e-05	0.036932	supercritical
221.67	143.00	329.42	0.0030356	92.121	135.53	4.6290	0.73165	1.6954	299.26	0.24191	2.4408e-05	0.036315	supercritical
224.90	143.00	318.60	0.0031387	96.040	140.92	4.6532	0.72751	1.6414	300.98	0.24143	2.4167e-05	0.035789	supercritical
228.13	143.00	308.66	0.0032398	99.821	146.15	4.6762	0.72369	1.5929	302.83	0.24033	2.3976e-05	0.035341	supercritical
231.37	143.00	299.48	0.0033391	103.48	151.23	4.6983	0.72018	1.5492	304.78	0.23873	2.3826e-05	0.034963	supercritical
234.60	143.00	290.99	0.0034366	107.03	156.17	4.7196	0.71697	1.5099	306.81	0.23671	2.3712e-05	0.034644	supercritical
237.83	143.00	283.10	0.0035324	110.48	161.00	4.7400	0.71403	1.4744	308.90	0.23435	2.3628e-05	0.034376	supercritical
241.07	143.00	275.74	0.0036266	113.85	165.71	4.7597	0.71133	1.4422	311.03	0.23173	2.3571e-05	0.034154	supercritical
244.30	143.00	268.87	0.0037193	117.14	170.33	4.7787	0.70887	1.4129	313.19	0.22890	2.3535e-05	0.033972	supercritical
247.53	143.00	262.42	0.0038107	120.36	174.85	4.7971	0.70661	1.3863	315.36	0.22590	2.3520e-05	0.033825	supercritical
250.77	143.00	256.36	0.0039007	123.51	179.29	4.8149	0.70455	1.3620	317.54	0.22278	2.3521e-05	0.033709	supercritical
254.00	143.00	250.66	0.0039895	126.61	183.66	4.8322	0.70267	1.3398	319.73	0.21955	2.3537e-05	0.033621	supercritical
257.23	143.00	245.27	0.0040772	129.66	187.96	4.8490	0.70095	1.3193	321.91	0.21625	2.3566e-05	0.033556	supercritical
260.47	143.00	240.17	0.0041638	132.65	192.19	4.8654	0.69938	1.3006	324.09	0.21290	2.3607e-05	0.033514	supercritical
263.70	143.00	235.33	0.0042493	135.61	196.37	4.8813	0.69795	1.2833	326.27	0.20952	2.3658e-05	0.033491	supercritical
266.93	143.00	230.74	0.0043339	138.52	200.49	4.8969	0.69665	1.2673	328.43	0.20612	2.3717e-05	0.033485	supercritical
270.17	143.00	226.37	0.0044176	141.40	204.57	4.9120	0.69547	1.2524	330.58	0.20271	2.3785e-05	0.033495	supercritical
273.40	143.00	222.20	0.0045005	144.24	208.59	4.9269	0.69440	1.2387	332.71	0.19931	2.3859e-05	0.033519	supercritical
276.63	143.00	218.22	0.0045825	147.05	212.58	4.9414	0.69343	1.2260	334.83	0.19592	2.3940e-05	0.033556	supercritical
279.87	143.00	214.42	0.0046637	149.83	216.52	4.9555	0.69256	1.2141	336.93	0.19255	2.4027e-05	0.033604	supercritical
283.10	143.00	210.78	0.0047443	152.59	220.43	4.9694	0.69178	1.2030	339.02	0.18921	2.4118e-05	0.033662	supercritical
286.33	143.00	207.29	0.0048241	155.32	224.30	4.9830	0.69108	1.1927	341.09	0.18589	2.4214e-05	0.033730	supercritical
289.57	143.00	203.94	0.0049033	158.03	228.14	4.9964	0.69045	1.1830	343.15	0.18261	2.4314e-05	0.033806	supercritical
292.80	143.00	200.73	0.0049819	160.71	231.95	5.0094	0.68991	1.1739	345.18	0.17936	2.4418e-05	0.033890	supercritical
296.03	143.00	197.63	0.0050598	163.38	235.74	5.0223	0.68943	1.1654	347.20	0.17615	2.4525e-05	0.033980	supercritical
299.27	143.00	194.66	0.0051373	166.03	239.49	5.0349	0.68901	1.1575	349.20	0.17299	2.4635e-05	0.034076	supercritical
302.50	143.00	191.79	0.0052141	168.66	243.22	5.0473	0.68866	1.1500	351.18	0.16986	2.4747e-05	0.034176	supercritical
305.73	143.00	189.02	0.0052905	171.27	246.93	5.0595	0.68837	1.1430	353.15	0.16678	2.4862e-05	0.034278	supercritical
308.97	143.00	186.35	0.0053664	173.87	250.61	5.0715	0.68813	1.1364	355.10	0.16374	2.4980e-05	0.034368	supercritical
312.20	143.00	183.76	0.0054418	176.46	254.28	5.0833	0.68794	1.1301	357.03	0.16075	2.5099e-05	0.034491	supercritical
315.43	143.00	181.27	0.0055167	179.03	257.92	5.0949	0.68780	1.1243	358.94	0.15780	2.5220e-05	0.034629	supercritical
318.67	143.00	178.85	0.0055912	181.59	261.55	5.1063	0.68772	1.1187	360.84	0.15490	2.5342e-05	0.034771	supercritical
321.90	143.00	176.51	0.0056653	184.14	265.16	5.1176	0.68767	1.1135	362.72	0.15204	2.5466e-05	0.034916	supercritical
325.13	143.00	174.24	0.0057391	186.68	268.75	5.1287	0.68767	1.1086	364.58	0.14923	2.5592e-05	0.035065	supercritical
328.37	143.00	172.05	0.0058124	189.21	272.33	5.1396	0.68771	1.1039	366.43	0.14646	2.5718e-05	0.035216	supercritical
331.60	143.00	169.91	0.0058854	191.73	275.89	5.1504	0.68779	1.0995	368.26	0.14374	2.5846e-05	0.035370	supercritical
334.83	143.00	167.84	0.0059580	194.24	279.44	5.1611	0.68791	1.0953	370.08	0.14106	2.5974e-05	0.035527	supercritical
338.07	143.00	165.83	0.0060303	196.74	282.97	5.1716	0.68807	1.0914	371.88	0.13843	2.6104e-05	0.035685	supercritical
341.30	143.00	163.87	0.0061022	199.23	286.49	5.1820	0.68826	1.0877	373.66	0.13583	2.6234e-05	0.035846	supercritical
344.53	143.00	161.97	0.0061739	201.72	290.00	5.1922	0.68848	1.0841	375.43	0.13328	2.6365e-05	0.036009	supercritical
347.77	143.00	160.12	0.0062453	204.20	293.50	5.2023	0.68874	1.0808	377.19	0.13077	2.6497e-05	0.036174	supercritical
351.00	143.00	158.32	0.0063163	206.67	296.99	5.2123	0.68902	1.0776	378.93	0.12831	2.6629e-05	0.036341	supercritical
354.23	143.00	156.57	0.0063871	209.14	300.47	5.2222	0.68934	1.0746	380.66	0.12588	2.6761e-05	0.036510	supercritical
357.47	143.00	154.86	0.0064576	211.60	303.94	5.2319	0.68968	1.0718	382.37	0.12350	2.6894e-05	0.036680	supercritical
360.70	143.00	153.19	0.0065279	214.06	307.40	5.2416	0.69005	1.0691	384.07	0.12115	2.7028e-05	0.036851	supercritical
363.93	143.00	151.56	0.0065979	216.51	310.86	5.2511	0.69045	1.0666	385.76	0.11884	2.7162e-05	0.037024	supercritical
367.17	143.00	149.98	0.0066676	218.96	314.30	5.2605	0.69087	1.0642	387.44	0.11657	2.7296e-05	0.037198	supercritical
370.40	143.00	148.43	0.0067372	221.40	317.74	5.2698	0.69132	1.0620	389.10	0.11434	2.7430e-05	0.037373	supercritical
373.63	143.00	146.92	0.0068065	223.84	321.17	5.2791	0.69179	1.0598	390.75	0.11214	2.7565e-05	0.037550	supercritical
376.87	143.00	145.44	0.0068755	226.27	324.59	5.2882	0.69228	1.0578	392.38	0.10998	2.7700e-05	0.037728	supercritical
380.10	143.00	144.00	0.0069444	228.71	328.01	5.2972	0.69280	1.0559	394.01	0.10786	2.7835e-05	0.037906	supercritical
383.33	143.00	142.59	0.0070131	231.13	331.42	5.3061	0.69333	1.0541	395.62	0.10577	2.7970e-05	0.038086	supercritical
386.57	143.00	141.21	0.0070815	233.56	334.83	5.3150	0.69389	1.0524	397.22	0.10372	2.8105e-05	0.038266	supercritical
389.80	143.00	139.86	0.0071498	235.99	338.23	5.3237	0.69446	1.0508	398.81	0.10170	2.8240e-05	0.038447	supercritical
393.03	143.00	138.55	0.0072179	238.41	341.62	5.3324	0.69506	1.0493	400.39	0.099709	2.8375e-05	0.038630	supercritical
396.27	143.00	137.25	0.0072858	240.83	345.01	5.3410	0.69567	1.0478	401.96	0.097753	2.8511e-05	0.038812	supercritical
399.50	143.00	135.99	0.0073535	243.24	348.40	5.3495	0.69629	1.0465	403.51	0.095829	2.8646e-05	0.038996	supercritical
402.73	143.00	134.75	0.0074210	245.66	351.78	5.3580	0.69694	1.0452	405.06	0.093937	2.8781e-05	0.039180	supercritical
405.97	143.00	133.54	0.0074884	248.07	355.16	5.3663	0.69760	1.0440	406.60	0.092074	2.8917e-05	0.039365	supercritical
