Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
77.000	169.00	843.47	0.0011856	-130.11	-110.08	2.7253	1.1262	1.9205	972.83	-0.041240	0.00020570	0.16204	liquid
78.000	169.00	839.83	0.0011907	-128.28	-108.16	2.7501	1.1203	1.9200	965.13	-0.041008	0.00019835	0.16035	liquid
79.000	169.00	836.18	0.0011959	-126.45	-106.24	2.7746	1.1145	1.9195	957.46	-0.040766	0.00019142	0.15867	liquid
80.000	169.00	832.52	0.0012012	-124.62	-104.32	2.7987	1.1088	1.9192	949.81	-0.040514	0.00018489	0.15699	liquid
81.000	169.00	828.84	0.0012065	-122.79	-102.40	2.8226	1.1032	1.9189	942.19	-0.040251	0.00017871	0.15532	liquid
82.000	169.00	825.15	0.0012119	-120.96	-100.48	2.8461	1.0977	1.9187	934.59	-0.039978	0.00017288	0.15366	liquid
83.000	169.00	821.45	0.0012174	-119.13	-98.560	2.8694	1.0923	1.9186	927.01	-0.039694	0.00016735	0.15200	liquid
84.000	169.00	817.74	0.0012229	-117.31	-96.641	2.8923	1.0870	1.9186	919.46	-0.039398	0.00016212	0.15035	liquid
85.000	169.00	814.02	0.0012285	-115.48	-94.723	2.9150	1.0818	1.9186	911.92	-0.039091	0.00015715	0.14870	liquid
86.000	169.00	810.28	0.0012341	-113.66	-92.804	2.9375	1.0767	1.9188	904.40	-0.038771	0.00015243	0.14707	liquid
87.000	169.00	806.53	0.0012399	-111.84	-90.885	2.9597	1.0717	1.9190	896.90	-0.038439	0.00014795	0.14543	liquid
88.000	169.00	802.77	0.0012457	-110.02	-88.966	2.9816	1.0668	1.9193	889.42	-0.038094	0.00014368	0.14381	liquid
89.000	169.00	798.99	0.0012516	-108.20	-87.047	3.0033	1.0619	1.9197	881.95	-0.037735	0.00013962	0.14220	liquid
90.000	169.00	795.21	0.0012575	-106.38	-85.127	3.0247	1.0572	1.9202	874.50	-0.037363	0.00013575	0.14059	liquid
91.000	169.00	791.41	0.0012636	-104.56	-83.206	3.0460	1.0526	1.9208	867.07	-0.036976	0.00013205	0.13898	liquid
92.000	169.00	787.59	0.0012697	-102.74	-81.285	3.0670	1.0480	1.9215	859.65	-0.036574	0.00012852	0.13739	liquid
93.000	169.00	783.76	0.0012759	-100.93	-79.363	3.0877	1.0435	1.9223	852.25	-0.036157	0.00012515	0.13580	liquid
94.000	169.00	779.92	0.0012822	-99.110	-77.441	3.1083	1.0391	1.9231	844.86	-0.035724	0.00012192	0.13422	liquid
95.000	169.00	776.06	0.0012886	-97.294	-75.517	3.1286	1.0348	1.9241	837.49	-0.035275	0.00011882	0.13265	liquid
96.000	169.00	772.18	0.0012950	-95.478	-73.592	3.1488	1.0306	1.9252	830.14	-0.034809	0.00011586	0.13109	liquid
97.000	169.00	768.30	0.0013016	-93.663	-71.666	3.1688	1.0264	1.9264	822.80	-0.034325	0.00011301	0.12953	liquid
98.000	169.00	764.39	0.0013082	-91.848	-69.739	3.1885	1.0224	1.9277	815.47	-0.033824	0.00011028	0.12799	liquid
99.000	169.00	760.47	0.0013150	-90.034	-67.811	3.2081	1.0184	1.9292	808.16	-0.033304	0.00010766	0.12645	liquid
100.00	169.00	756.53	0.0013218	-88.220	-65.881	3.2275	1.0144	1.9307	800.87	-0.032765	0.00010513	0.12491	liquid
101.00	169.00	752.58	0.0013288	-86.405	-63.949	3.2467	1.0106	1.9324	793.59	-0.032206	0.00010271	0.12339	liquid
102.00	169.00	748.61	0.0013358	-84.591	-62.016	3.2658	1.0068	1.9341	786.33	-0.031626	0.00010037	0.12188	liquid
103.00	169.00	744.62	0.0013430	-82.777	-60.081	3.2846	1.0031	1.9360	779.09	-0.031026	9.8113e-05	0.12037	liquid
104.00	169.00	740.62	0.0013502	-80.963	-58.144	3.3034	0.99950	1.9380	771.86	-0.030404	9.5940e-05	0.11888	liquid
105.00	169.00	736.60	0.0013576	-79.148	-56.205	3.3219	0.99594	1.9401	764.65	-0.029759	9.3842e-05	0.11740	liquid
106.00	169.00	732.56	0.0013651	-77.334	-54.264	3.3403	0.99245	1.9424	757.46	-0.029091	9.1816e-05	0.11592	liquid
107.00	169.00	728.50	0.0013727	-75.519	-52.320	3.3586	0.98903	1.9447	750.28	-0.028400	8.9858e-05	0.11446	liquid
108.00	169.00	724.42	0.0013804	-73.703	-50.374	3.3767	0.98568	1.9472	743.13	-0.027684	8.7964e-05	0.11301	liquid
109.00	169.00	720.32	0.0013883	-71.888	-48.426	3.3946	0.98239	1.9498	735.99	-0.026943	8.6132e-05	0.11156	liquid
110.00	169.00	716.20	0.0013963	-70.071	-46.475	3.4124	0.97916	1.9526	728.88	-0.026176	8.4359e-05	0.11013	liquid
111.00	169.00	712.06	0.0014044	-68.255	-44.521	3.4301	0.97600	1.9554	721.79	-0.025382	8.2640e-05	0.10871	liquid
112.00	169.00	707.91	0.0014126	-66.437	-42.564	3.4477	0.97290	1.9584	714.72	-0.024560	8.0975e-05	0.10729	liquid
113.00	169.00	703.73	0.0014210	-64.619	-40.604	3.4651	0.96987	1.9615	707.67	-0.023710	7.9359e-05	0.10589	liquid
114.00	169.00	699.53	0.0014295	-62.800	-38.641	3.4824	0.96689	1.9648	700.65	-0.022832	7.7792e-05	0.10450	liquid
115.00	169.00	695.31	0.0014382	-60.980	-36.674	3.4996	0.96397	1.9681	693.65	-0.021923	7.6270e-05	0.10312	liquid
116.00	169.00	691.06	0.0014470	-59.160	-34.704	3.5166	0.96112	1.9716	686.69	-0.020983	7.4791e-05	0.10175	liquid
117.00	169.00	686.80	0.0014560	-57.338	-32.731	3.5336	0.95832	1.9752	679.75	-0.020013	7.3355e-05	0.10039	liquid
118.00	169.00	682.51	0.0014652	-55.516	-30.754	3.5504	0.95558	1.9790	672.84	-0.019009	7.1957e-05	0.099046	liquid
119.00	169.00	678.20	0.0014745	-53.692	-28.773	3.5671	0.95289	1.9828	665.96	-0.017973	7.0598e-05	0.097712	liquid
120.00	169.00	673.87	0.0014840	-51.868	-26.788	3.5837	0.95026	1.9868	659.11	-0.016903	6.9275e-05	0.096390	liquid
121.00	169.00	669.51	0.0014936	-50.042	-24.800	3.6002	0.94769	1.9909	652.30	-0.015798	6.7987e-05	0.095081	liquid
122.00	169.00	665.13	0.0015035	-48.215	-22.807	3.6166	0.94517	1.9951	645.53	-0.014658	6.6732e-05	0.093785	liquid
123.00	169.00	660.73	0.0015135	-46.387	-20.809	3.6329	0.94270	1.9994	638.79	-0.013481	6.5509e-05	0.092503	liquid
124.00	169.00	656.30	0.0015237	-44.558	-18.808	3.6491	0.94028	2.0038	632.10	-0.012267	6.4317e-05	0.091234	liquid
125.00	169.00	651.85	0.0015341	-42.728	-16.802	3.6652	0.93792	2.0083	625.44	-0.011016	6.3154e-05	0.089979	liquid
126.00	169.00	647.37	0.0015447	-40.897	-14.791	3.6813	0.93560	2.0129	618.84	-0.0097264	6.2019e-05	0.088738	liquid
127.00	169.00	642.87	0.0015555	-39.064	-12.776	3.6972	0.93334	2.0176	612.27	-0.0083976	6.0911e-05	0.087511	supercritical
128.00	169.00	638.35	0.0015665	-37.230	-10.756	3.7130	0.93112	2.0223	605.76	-0.0070292	5.9829e-05	0.086299	supercritical
129.00	169.00	633.81	0.0015778	-35.396	-8.7312	3.7288	0.92895	2.0272	599.30	-0.0056204	5.8773e-05	0.085102	supercritical
130.00	169.00	629.24	0.0015892	-33.560	-6.7016	3.7445	0.92682	2.0321	592.89	-0.0041709	5.7740e-05	0.083921	supercritical
131.00	169.00	624.64	0.0016009	-31.723	-4.6670	3.7601	0.92474	2.0370	586.54	-0.0026800	5.6731e-05	0.082755	supercritical
132.00	169.00	620.02	0.0016128	-29.885	-2.6275	3.7756	0.92271	2.0420	580.25	-0.0011475	5.5745e-05	0.081606	supercritical
133.00	169.00	615.38	0.0016250	-28.046	-0.58297	3.7910	0.92072	2.0470	574.02	0.00042713	5.4780e-05	0.080472	supercritical
134.00	169.00	610.72	0.0016374	-26.206	1.4666	3.8064	0.91877	2.0521	567.85	0.0020440	5.3836e-05	0.079356	supercritical
135.00	169.00	606.04	0.0016501	-24.365	3.5212	3.8216	0.91686	2.0571	561.76	0.0037034	5.2913e-05	0.078256	supercritical
136.00	169.00	601.33	0.0016630	-22.524	5.5808	3.8368	0.91499	2.0622	555.73	0.0054054	5.2009e-05	0.077173	supercritical
137.00	169.00	596.60	0.0016762	-20.682	7.6455	3.8520	0.91315	2.0672	549.77	0.0071499	5.1125e-05	0.076108	supercritical
138.00	169.00	591.85	0.0016896	-18.839	9.7151	3.8670	0.91136	2.0721	543.89	0.0089368	5.0259e-05	0.075060	supercritical
139.00	169.00	587.08	0.0017033	-16.997	11.790	3.8820	0.90960	2.0770	538.08	0.010766	4.9411e-05	0.074030	supercritical
140.00	169.00	582.30	0.0017173	-15.154	13.869	3.8969	0.90787	2.0818	532.36	0.012637	4.8581e-05	0.073018	supercritical
141.00	169.00	577.49	0.0017316	-13.311	15.953	3.9117	0.90618	2.0866	526.72	0.014549	4.7767e-05	0.072024	supercritical
142.00	169.00	572.67	0.0017462	-11.469	18.042	3.9265	0.90451	2.0912	521.17	0.016501	4.6971e-05	0.071049	supercritical
143.00	169.00	567.83	0.0017611	-9.6268	20.136	3.9412	0.90288	2.0956	515.70	0.018494	4.6191e-05	0.070092	supercritical
144.00	169.00	562.98	0.0017763	-7.7855	22.233	3.9558	0.90128	2.0999	510.33	0.020525	4.5427e-05	0.069154	supercritical
145.00	169.00	558.11	0.0017917	-5.9451	24.335	3.9703	0.89970	2.1040	505.05	0.022594	4.4679e-05	0.068234	supercritical
146.00	169.00	553.24	0.0018075	-4.1059	26.441	3.9848	0.89815	2.1079	499.87	0.024699	4.3946e-05	0.067333	supercritical
147.00	169.00	548.35	0.0018236	-2.2683	28.551	3.9992	0.89662	2.1116	494.79	0.026839	4.3229e-05	0.066452	supercritical
148.00	169.00	543.46	0.0018401	-0.43246	30.665	4.0136	0.89512	2.1150	489.81	0.029013	4.2527e-05	0.065588	supercritical
149.00	169.00	538.56	0.0018568	1.4013	32.781	4.0278	0.89364	2.1182	484.93	0.031217	4.1839e-05	0.064744	supercritical
150.00	169.00	533.66	0.0018739	3.2325	34.901	4.0420	0.89217	2.1210	480.16	0.033451	4.1167e-05	0.063918	supercritical
151.00	169.00	528.75	0.0018912	5.0610	37.023	4.0561	0.89073	2.1235	475.49	0.035712	4.0509e-05	0.063111	supercritical
152.00	169.00	523.85	0.0019090	6.8863	39.148	4.0701	0.88930	2.1256	470.94	0.037998	3.9865e-05	0.062322	supercritical
153.00	169.00	518.94	0.0019270	8.7080	41.274	4.0841	0.88789	2.1274	466.50	0.040307	3.9236e-05	0.061552	supercritical
154.00	169.00	514.05	0.0019454	10.526	43.402	4.0979	0.88650	2.1288	462.17	0.042635	3.8620e-05	0.060799	supercritical
155.00	169.00	509.15	0.0019640	12.339	45.532	4.1117	0.88512	2.1298	457.95	0.044981	3.8020e-05	0.060065	supercritical
