Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	151.00	174.79	0.0057212	41.665	128.06	3.0658	3.2259	4.9737	597.66	-0.070346	8.5438e-06	0.076101	supercritical
21.000	151.00	171.41	0.0058339	44.984	133.08	3.3107	3.2426	5.0656	594.94	-0.067826	8.4199e-06	0.075368	supercritical
22.000	151.00	168.08	0.0059495	48.345	138.18	3.5483	3.2561	5.1474	592.50	-0.065552	8.3212e-06	0.074642	supercritical
23.000	151.00	164.80	0.0060680	51.742	143.37	3.7788	3.2670	5.2197	590.35	-0.063501	8.2437e-06	0.073938	supercritical
24.000	151.00	161.58	0.0061889	55.168	148.62	4.0023	3.2758	5.2832	588.49	-0.061655	8.1840e-06	0.073270	supercritical
25.000	151.00	158.42	0.0063122	58.618	153.93	4.2191	3.2827	5.3385	586.92	-0.059997	8.1394e-06	0.072647	supercritical
26.000	151.00	155.34	0.0064376	62.087	159.29	4.4294	3.2882	5.3863	585.63	-0.058511	8.1077e-06	0.072076	supercritical
27.000	151.00	152.33	0.0065649	65.572	164.70	4.6335	3.2924	5.4272	584.60	-0.057183	8.0870e-06	0.071561	supercritical
28.000	151.00	149.39	0.0066939	69.069	170.15	4.8315	3.2956	5.4619	583.83	-0.055999	8.0757e-06	0.071102	supercritical
29.000	151.00	146.53	0.0068245	72.574	175.62	5.0237	3.2979	5.4911	583.30	-0.054946	8.0726e-06	0.070703	supercritical
30.000	151.00	143.75	0.0069564	76.085	181.13	5.2103	3.2995	5.5154	582.99	-0.054011	8.0765e-06	0.070360	supercritical
31.000	151.00	141.05	0.0070896	79.600	186.65	5.3915	3.3006	5.5353	582.89	-0.053183	8.0866e-06	0.070074	supercritical
32.000	151.00	138.43	0.0072239	83.117	192.20	5.5675	3.3011	5.5515	582.99	-0.052451	8.1018e-06	0.069841	supercritical
33.000	151.00	135.89	0.0073591	86.633	197.76	5.7385	3.3013	5.5643	583.26	-0.051805	8.1217e-06	0.069659	supercritical
34.000	151.00	133.42	0.0074951	90.148	203.32	5.9048	3.3011	5.5744	583.70	-0.051235	8.1457e-06	0.069526	supercritical
35.000	151.00	131.03	0.0076319	93.661	208.90	6.0665	3.3006	5.5820	584.29	-0.050735	8.1731e-06	0.069438	supercritical
36.000	151.00	128.71	0.0077694	97.170	214.49	6.2238	3.2999	5.5874	585.02	-0.050296	8.2036e-06	0.069392	supercritical
