Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	127.00	163.44	0.0061186	42.080	119.79	3.3614	3.2155	5.1447	554.85	-0.065673	7.7880e-06	0.068033	supercritical
21.000	127.00	159.81	0.0062575	45.505	124.98	3.6146	3.2294	5.2320	552.33	-0.063079	7.7047e-06	0.067392	supercritical
22.000	127.00	156.25	0.0064001	48.965	130.25	3.8598	3.2405	5.3077	550.17	-0.060764	7.6418e-06	0.066786	supercritical
23.000	127.00	152.76	0.0065460	52.453	135.59	4.0972	3.2494	5.3726	548.37	-0.058704	7.5959e-06	0.066228	supercritical
24.000	127.00	149.37	0.0066949	55.963	140.99	4.3271	3.2564	5.4277	546.91	-0.056877	7.5643e-06	0.065726	supercritical
25.000	127.00	146.06	0.0068466	59.489	146.44	4.5496	3.2618	5.4739	545.78	-0.055260	7.5449e-06	0.065284	supercritical
26.000	127.00	142.85	0.0070006	63.026	151.93	4.7651	3.2660	5.5122	544.96	-0.053835	7.5358e-06	0.064904	supercritical
27.000	127.00	139.73	0.0071567	66.572	157.46	4.9737	3.2692	5.5436	544.44	-0.052582	7.5355e-06	0.064587	supercritical
28.000	127.00	136.71	0.0073147	70.122	163.02	5.1758	3.2716	5.5689	544.18	-0.051482	7.5428e-06	0.064331	supercritical
29.000	127.00	133.79	0.0074743	73.674	168.60	5.3716	3.2733	5.5889	544.18	-0.050518	7.5565e-06	0.064134	supercritical
30.000	127.00	130.97	0.0076354	77.226	174.19	5.5613	3.2744	5.6044	544.40	-0.049676	7.5757e-06	0.063993	supercritical
31.000	127.00	128.24	0.0077977	80.775	179.81	5.7453	3.2750	5.6161	544.83	-0.048942	7.5997e-06	0.063904	supercritical
32.000	127.00	125.61	0.0079611	84.320	185.43	5.9237	3.2753	5.6246	545.46	-0.048304	7.6278e-06	0.063864	supercritical
33.000	127.00	123.07	0.0081254	87.861	191.05	6.0969	3.2753	5.6303	546.25	-0.047750	7.6594e-06	0.063869	supercritical
34.000	127.00	120.62	0.0082905	91.396	196.69	6.2650	3.2750	5.6338	547.21	-0.047271	7.6942e-06	0.063915	supercritical
35.000	127.00	118.25	0.0084564	94.924	202.32	6.4284	3.2744	5.6352	548.32	-0.046859	7.7316e-06	0.063999	supercritical
36.000	127.00	115.97	0.0086228	98.446	207.96	6.5871	3.2737	5.6351	549.55	-0.046507	7.7713e-06	0.064116	supercritical
37.000	127.00	113.77	0.0087898	101.96	213.59	6.7415	3.2729	5.6336	550.91	-0.046208	7.8131e-06	0.064265	supercritical
38.000	127.00	111.64	0.0089572	105.47	219.22	6.8917	3.2719	5.6310	552.38	-0.045958	7.8567e-06	0.064442	supercritical
39.000	127.00	109.59	0.0091250	108.96	224.85	7.0379	3.2708	5.6275	553.94	-0.045751	7.9018e-06	0.064644	supercritical
40.000	127.00	107.61	0.0092931	112.45	230.48	7.1803	3.2697	5.6231	555.60	-0.045583	7.9482e-06	0.064869	supercritical
41.000	127.00	105.69	0.0094615	115.94	236.10	7.3191	3.2685	5.6181	557.35	-0.045451	7.9959e-06	0.065115	supercritical
42.000	127.00	103.84	0.0096301	119.41	241.71	7.4545	3.2672	5.6126	559.17	-0.045351	8.0446e-06	0.065379	supercritical
43.000	127.00	102.05	0.0097989	122.88	247.32	7.5865	3.2659	5.6067	561.05	-0.045281	8.0943e-06	0.065660	supercritical
44.000	127.00	100.32	0.0099678	126.34	252.93	7.7153	3.2645	5.6005	563.01	-0.045237	8.1447e-06	0.065956	supercritical
45.000	127.00	98.651	0.010137	129.79	258.52	7.8411	3.2632	5.5939	565.01	-0.045218	8.1959e-06	0.066265	supercritical
46.000	127.00	97.032	0.010306	133.23	264.11	7.9639	3.2618	5.5872	567.07	-0.045221	8.2477e-06	0.066587	supercritical
47.000	127.00	95.465	0.010475	136.67	269.70	8.0840	3.2604	5.5803	569.18	-0.045245	8.3000e-06	0.066919	supercritical
