Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	355.00	229.77	0.0043522	46.042	200.54	1.7145	3.2330	4.3090	857.84	-0.081064	1.5666e-05	0.13931	supercritical
21.000	355.00	227.50	0.0043956	48.856	204.90	1.9269	3.2671	4.3981	855.25	-0.079046	1.5040e-05	0.13882	supercritical
22.000	355.00	225.24	0.0044397	51.729	209.34	2.1335	3.2966	4.4809	852.65	-0.077212	1.4512e-05	0.13817	supercritical
23.000	355.00	222.98	0.0044846	54.654	213.86	2.3344	3.3220	4.5579	850.06	-0.075533	1.4064e-05	0.13737	supercritical
24.000	355.00	220.74	0.0045303	57.627	218.45	2.5299	3.3439	4.6296	847.51	-0.073989	1.3682e-05	0.13646	supercritical
25.000	355.00	218.50	0.0045767	60.643	223.12	2.7203	3.3627	4.6965	845.01	-0.072562	1.3355e-05	0.13547	supercritical
26.000	355.00	216.27	0.0046238	63.699	227.84	2.9057	3.3789	4.7589	842.59	-0.071240	1.3074e-05	0.13440	supercritical
27.000	355.00	214.06	0.0046716	66.791	232.63	3.0864	3.3928	4.8171	840.25	-0.070010	1.2831e-05	0.13328	supercritical
28.000	355.00	211.86	0.0047200	69.916	237.48	3.2626	3.4047	4.8714	838.01	-0.068865	1.2622e-05	0.13212	supercritical
29.000	355.00	209.68	0.0047691	73.071	242.37	3.4344	3.4148	4.9221	835.88	-0.067795	1.2442e-05	0.13093	supercritical
30.000	355.00	207.52	0.0048188	76.254	247.32	3.6021	3.4234	4.9694	833.85	-0.066795	1.2286e-05	0.12974	supercritical
31.000	355.00	205.38	0.0048691	79.461	252.31	3.7658	3.4305	5.0134	831.94	-0.065860	1.2151e-05	0.12854	supercritical
32.000	355.00	203.26	0.0049199	82.690	257.35	3.9256	3.4365	5.0543	830.15	-0.064984	1.2034e-05	0.12734	supercritical
33.000	355.00	201.16	0.0049713	85.940	262.42	4.0817	3.4414	5.0924	828.48	-0.064164	1.1934e-05	0.12616	supercritical
34.000	355.00	199.08	0.0050231	89.209	267.53	4.2343	3.4454	5.1277	826.93	-0.063396	1.1848e-05	0.12499	supercritical
35.000	355.00	197.02	0.0050755	92.494	272.67	4.3834	3.4485	5.1604	825.50	-0.062678	1.1774e-05	0.12385	supercritical
36.000	355.00	195.00	0.0051283	95.794	277.85	4.5292	3.4509	5.1907	824.19	-0.062005	1.1712e-05	0.12274	supercritical
37.000	355.00	192.99	0.0051816	99.108	283.05	4.6718	3.4527	5.2186	822.99	-0.061376	1.1659e-05	0.12166	supercritical
38.000	355.00	191.01	0.0052353	102.43	288.29	4.8113	3.4539	5.2444	821.92	-0.060788	1.1615e-05	0.12061	supercritical
39.000	355.00	189.06	0.0052893	105.77	293.54	4.9478	3.4546	5.2681	820.96	-0.060239	1.1578e-05	0.11960	supercritical
40.000	355.00	187.13	0.0053438	109.12	298.82	5.0815	3.4548	5.2898	820.11	-0.059727	1.1549e-05	0.11863	supercritical
41.000	355.00	185.23	0.0053986	112.47	304.12	5.2124	3.4547	5.3096	819.37	-0.059250	1.1526e-05	0.11770	supercritical
42.000	355.00	183.36	0.0054537	115.84	309.44	5.3405	3.4542	5.3278	818.73	-0.058806	1.1508e-05	0.11681	supercritical
43.000	355.00	181.52	0.0055090	119.21	314.78	5.4661	3.4535	5.3443	818.19	-0.058394	1.1496e-05	0.11597	supercritical
44.000	355.00	179.70	0.0055647	122.58	320.13	5.5891	3.4525	5.3592	817.76	-0.058011	1.1488e-05	0.11516	supercritical
45.000	355.00	177.91	0.0056207	125.96	325.49	5.7097	3.4512	5.3728	817.41	-0.057657	1.1484e-05	0.11440	supercritical
