Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	123.00	161.32	0.0061988	42.196	118.44	3.4173	3.2134	5.1772	547.23	-0.064692	7.6626e-06	0.066678	supercritical
21.000	123.00	157.65	0.0063433	45.640	123.66	3.6720	3.2268	5.2633	544.77	-0.062088	7.5858e-06	0.066059	supercritical
22.000	123.00	154.05	0.0064915	49.117	128.96	3.9187	3.2375	5.3375	542.67	-0.059771	7.5286e-06	0.065480	supercritical
23.000	123.00	150.53	0.0066433	52.621	134.33	4.1573	3.2460	5.4006	540.95	-0.057715	7.4878e-06	0.064952	supercritical
24.000	123.00	147.10	0.0067981	56.145	139.76	4.3884	3.2527	5.4538	539.58	-0.055896	7.4608e-06	0.064482	supercritical
25.000	123.00	143.77	0.0069556	59.684	145.24	4.6119	3.2580	5.4981	538.55	-0.054293	7.4455e-06	0.064075	supercritical
26.000	123.00	140.54	0.0071156	63.233	150.75	4.8283	3.2620	5.5344	537.83	-0.052884	7.4401e-06	0.063731	supercritical
27.000	123.00	137.41	0.0072777	66.788	156.30	5.0377	3.2650	5.5638	537.41	-0.051648	7.4431e-06	0.063451	supercritical
28.000	123.00	134.38	0.0074418	70.346	161.88	5.2405	3.2673	5.5872	537.26	-0.050567	7.4534e-06	0.063232	supercritical
29.000	123.00	131.45	0.0076074	73.906	167.48	5.4369	3.2689	5.6055	537.36	-0.049623	7.4698e-06	0.063071	supercritical
30.000	123.00	128.63	0.0077745	77.463	173.09	5.6272	3.2699	5.6193	537.69	-0.048801	7.4915e-06	0.062965	supercritical
31.000	123.00	125.90	0.0079428	81.017	178.71	5.8116	3.2705	5.6295	538.22	-0.048087	7.5178e-06	0.062910	supercritical
32.000	123.00	123.27	0.0081122	84.567	184.35	5.9905	3.2708	5.6366	538.95	-0.047467	7.5479e-06	0.062903	supercritical
33.000	123.00	120.74	0.0082826	88.111	189.99	6.1640	3.2707	5.6410	539.85	-0.046933	7.5815e-06	0.062939	supercritical
34.000	123.00	118.29	0.0084537	91.648	195.63	6.3324	3.2704	5.6432	540.91	-0.046473	7.6180e-06	0.063014	supercritical
35.000	123.00	115.93	0.0086256	95.178	201.27	6.4960	3.2699	5.6436	542.12	-0.046080	7.6571e-06	0.063126	supercritical
36.000	123.00	113.66	0.0087980	98.700	206.92	6.6550	3.2692	5.6425	543.45	-0.045747	7.6983e-06	0.063270	supercritical
37.000	123.00	111.47	0.0089709	102.21	212.56	6.8096	3.2684	5.6401	544.91	-0.045468	7.7415e-06	0.063444	supercritical
