Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	213.00	197.02	0.0050757	42.008	150.12	2.5054	3.2383	4.6673	691.44	-0.076828	1.0552e-05	0.096341	supercritical
21.000	213.00	194.13	0.0051511	45.116	154.83	2.7355	3.2616	4.7610	688.60	-0.074508	1.0307e-05	0.095559	supercritical
22.000	213.00	191.26	0.0052284	48.274	159.64	2.9590	3.2810	4.8469	685.92	-0.072392	1.0104e-05	0.094716	supercritical
23.000	213.00	188.41	0.0053074	51.478	164.53	3.1762	3.2971	4.9255	683.41	-0.070458	9.9350e-06	0.093835	supercritical
24.000	213.00	185.59	0.0053881	54.721	169.49	3.3873	3.3105	4.9973	681.08	-0.068687	9.7945e-06	0.092936	supercritical
25.000	213.00	182.80	0.0054704	58.000	174.52	3.5927	3.3215	5.0625	678.95	-0.067064	9.6782e-06	0.092036	supercritical
26.000	213.00	180.05	0.0055541	61.309	179.61	3.7924	3.3306	5.1217	677.01	-0.065577	9.5825e-06	0.091147	supercritical
27.000	213.00	177.33	0.0056392	64.645	184.76	3.9867	3.3379	5.1752	675.26	-0.064213	9.5043e-06	0.090281	supercritical
28.000	213.00	174.65	0.0057256	68.004	189.96	4.1758	3.3438	5.2234	673.71	-0.062965	9.4413e-06	0.089447	supercritical
29.000	213.00	172.02	0.0058132	71.383	195.21	4.3599	3.3484	5.2665	672.36	-0.061824	9.3913e-06	0.088650	supercritical
30.000	213.00	169.43	0.0059020	74.779	200.49	4.5391	3.3520	5.3049	671.20	-0.060782	9.3526e-06	0.087896	supercritical
31.000	213.00	166.90	0.0059917	78.190	205.81	4.7136	3.3547	5.3391	670.22	-0.059832	9.3238e-06	0.087189	supercritical
32.000	213.00	164.41	0.0060824	81.613	211.17	4.8836	3.3566	5.3692	669.41	-0.058967	9.3035e-06	0.086530	supercritical
33.000	213.00	161.97	0.0061740	85.046	216.55	5.0492	3.3579	5.3957	668.78	-0.058182	9.2908e-06	0.085921	supercritical
34.000	213.00	159.58	0.0062663	88.486	221.96	5.2107	3.3586	5.4188	668.31	-0.057470	9.2847e-06	0.085363	supercritical
35.000	213.00	157.25	0.0063594	91.933	227.39	5.3680	3.3588	5.4388	668.00	-0.056827	9.2844e-06	0.084855	supercritical
36.000	213.00	154.97	0.0064531	95.385	232.84	5.5215	3.3586	5.4561	667.83	-0.056245	9.2893e-06	0.084397	supercritical
37.000	213.00	152.73	0.0065474	98.840	238.30	5.6712	3.3581	5.4709	667.80	-0.055722	9.2988e-06	0.083987	supercritical
38.000	213.00	150.55	0.0066422	102.30	243.78	5.8173	3.3573	5.4834	667.90	-0.055251	9.3123e-06	0.083624	supercritical
39.000	213.00	148.42	0.0067375	105.76	249.27	5.9598	3.3563	5.4939	668.12	-0.054829	9.3294e-06	0.083307	supercritical
40.000	213.00	146.34	0.0068332	109.22	254.76	6.0991	3.3551	5.5026	668.46	-0.054451	9.3497e-06	0.083033	supercritical
41.000	213.00	144.31	0.0069293	112.68	260.27	6.2350	3.3537	5.5097	668.90	-0.054113	9.3729e-06	0.082801	supercritical
42.000	213.00	142.33	0.0070258	116.13	265.78	6.3679	3.3521	5.5154	669.44	-0.053812	9.3987e-06	0.082608	supercritical
43.000	213.00	140.40	0.0071225	119.59	271.30	6.4977	3.3505	5.5198	670.07	-0.053544	9.4267e-06	0.082453	supercritical
44.000	213.00	138.51	0.0072196	123.05	276.82	6.6246	3.3487	5.5231	670.79	-0.053306	9.4568e-06	0.082333	supercritical
45.000	213.00	136.67	0.0073169	126.50	282.35	6.7488	3.3469	5.5255	671.59	-0.053095	9.4887e-06	0.082246	supercritical
46.000	213.00	134.87	0.0074144	129.95	287.87	6.8702	3.3450	5.5270	672.46	-0.052909	9.5223e-06	0.082191	supercritical
47.000	213.00	133.12	0.0075121	133.39	293.40	6.9891	3.3431	5.5277	673.41	-0.052746	9.5573e-06	0.082165	supercritical
48.000	213.00	131.41	0.0076099	136.84	298.93	7.1055	3.3411	5.5278	674.41	-0.052603	9.5938e-06	0.082167	supercritical
49.000	213.00	129.74	0.0077080	140.28	304.46	7.2195	3.3391	5.5273	675.48	-0.052478	9.6314e-06	0.082195	supercritical
50.000	213.00	128.10	0.0078062	143.71	309.98	7.3311	3.3370	5.5263	676.61	-0.052370	9.6701e-06	0.082248	supercritical
51.000	213.00	126.51	0.0079045	147.14	315.51	7.4405	3.3350	5.5248	677.79	-0.052277	9.7098e-06	0.082322	supercritical
52.000	213.00	124.96	0.0080029	150.57	321.03	7.5478	3.3330	5.5230	679.02	-0.052198	9.7504e-06	0.082419	supercritical
53.000	213.00	123.44	0.0081014	153.99	326.55	7.6530	3.3309	5.5209	680.30	-0.052131	9.7918e-06	0.082534	supercritical
54.000	213.00	121.95	0.0082000	157.41	332.07	7.7562	3.3289	5.5185	681.62	-0.052076	9.8340e-06	0.082669	supercritical
55.000	213.00	120.50	0.0082986	160.83	337.59	7.8574	3.3268	5.5159	682.98	-0.052031	9.8768e-06	0.082820	supercritical
56.000	213.00	119.08	0.0083974	164.24	343.10	7.9568	3.3248	5.5130	684.38	-0.051997	9.9202e-06	0.082988	supercritical
57.000	213.00	117.70	0.0084962	167.65	348.62	8.0543	3.3228	5.5099	685.82	-0.051971	9.9642e-06	0.083170	supercritical
58.000	213.00	116.35	0.0085950	171.05	354.12	8.1501	3.3208	5.5067	687.29	-0.051953	1.0009e-05	0.083367	supercritical
59.000	213.00	115.02	0.0086939	174.45	359.63	8.2442	3.3188	5.5034	688.80	-0.051943	1.0054e-05	0.083576	supercritical
60.000	213.00	113.73	0.0087928	177.84	365.13	8.3367	3.3168	5.5000	690.33	-0.051939	1.0099e-05	0.083798	supercritical
61.000	213.00	112.46	0.0088918	181.24	370.63	8.4276	3.3149	5.4965	691.89	-0.051943	1.0145e-05	0.084031	supercritical
62.000	213.00	111.23	0.0089907	184.62	376.12	8.5169	3.3130	5.4929	693.48	-0.051952	1.0191e-05	0.084274	supercritical
63.000	213.00	110.01	0.0090897	188.00	381.62	8.6048	3.3111	5.4892	695.10	-0.051967	1.0237e-05	0.084527	supercritical
64.000	213.00	108.83	0.0091887	191.38	387.10	8.6912	3.3092	5.4855	696.74	-0.051987	1.0284e-05	0.084789	supercritical
65.000	213.00	107.67	0.0092878	194.76	392.59	8.7762	3.3073	5.4817	698.40	-0.052013	1.0331e-05	0.085059	supercritical
66.000	213.00	106.53	0.0093868	198.13	398.07	8.8599	3.3055	5.4780	700.08	-0.052043	1.0378e-05	0.085337	supercritical
67.000	213.00	105.42	0.0094858	201.49	403.54	8.9422	3.3037	5.4742	701.79	-0.052077	1.0425e-05	0.085623	supercritical
68.000	213.00	104.33	0.0095848	204.86	409.01	9.0233	3.3019	5.4703	703.51	-0.052115	1.0473e-05	0.085915	supercritical
69.000	213.00	103.26	0.0096839	208.22	414.48	9.1031	3.3001	5.4665	705.25	-0.052157	1.0520e-05	0.086214	supercritical
70.000	213.00	102.22	0.0097829	211.57	419.95	9.1818	3.2984	5.4627	707.01	-0.052202	1.0568e-05	0.086518	supercritical
71.000	213.00	101.20	0.0098819	214.92	425.41	9.2592	3.2966	5.4589	708.78	-0.052251	1.0616e-05	0.086828	supercritical
72.000	213.00	100.19	0.0099809	218.27	430.87	9.3355	3.2949	5.4551	710.57	-0.052303	1.0664e-05	0.087143	supercritical
73.000	213.00	99.207	0.010080	221.62	436.32	9.4108	3.2933	5.4513	712.37	-0.052358	1.0713e-05	0.087462	supercritical
74.000	213.00	98.243	0.010179	224.96	441.77	9.4849	3.2916	5.4476	714.19	-0.052416	1.0761e-05	0.087786	supercritical
75.000	213.00	97.297	0.010278	228.30	447.21	9.5580	3.2900	5.4438	716.01	-0.052476	1.0810e-05	0.088114	supercritical
76.000	213.00	96.369	0.010377	231.63	452.66	9.6301	3.2884	5.4401	717.85	-0.052538	1.0858e-05	0.088446	supercritical
77.000	213.00	95.459	0.010476	234.96	458.09	9.7012	3.2868	5.4364	719.70	-0.052602	1.0907e-05	0.088781	supercritical
78.000	213.00	94.566	0.010575	238.29	463.53	9.7713	3.2853	5.4328	721.56	-0.052669	1.0955e-05	0.089120	supercritical
79.000	213.00	93.690	0.010673	241.61	468.96	9.8405	3.2837	5.4292	723.43	-0.052737	1.1004e-05	0.089461	supercritical
80.000	213.00	92.831	0.010772	244.94	474.39	9.9088	3.2822	5.4256	725.31	-0.052807	1.1053e-05	0.089806	supercritical
81.000	213.00	91.987	0.010871	248.26	479.81	9.9761	3.2807	5.4221	727.19	-0.052879	1.1102e-05	0.090153	supercritical
82.000	213.00	91.158	0.010970	251.57	485.23	10.043	3.2792	5.4186	729.09	-0.052952	1.1151e-05	0.090502	supercritical
83.000	213.00	90.345	0.011069	254.88	490.65	10.108	3.2778	5.4151	730.99	-0.053026	1.1200e-05	0.090853	supercritical
84.000	213.00	89.546	0.011167	258.19	496.06	10.173	3.2764	5.4117	732.89	-0.053101	1.1249e-05	0.091207	supercritical
85.000	213.00	88.761	0.011266	261.50	501.47	10.237	3.2750	5.4083	734.80	-0.053178	1.1297e-05	0.091562	supercritical
86.000	213.00	87.990	0.011365	264.81	506.88	10.300	3.2736	5.4050	736.72	-0.053255	1.1346e-05	0.091920	supercritical
87.000	213.00	87.233	0.011464	268.11	512.28	10.363	3.2722	5.4017	738.64	-0.053333	1.1395e-05	0.092278	supercritical
88.000	213.00	86.489	0.011562	271.41	517.68	10.425	3.2709	5.3984	740.57	-0.053412	1.1444e-05	0.092639	supercritical
89.000	213.00	85.757	0.011661	274.70	523.08	10.486	3.2695	5.3952	742.50	-0.053491	1.1493e-05	0.093000	supercritical
90.000	213.00	85.038	0.011759	278.00	528.47	10.546	3.2682	5.3921	744.44	-0.053571	1.1542e-05	0.093363	supercritical
91.000	213.00	84.332	0.011858	281.29	533.86	10.605	3.2669	5.3890	746.37	-0.053651	1.1591e-05	0.093728	supercritical
92.000	213.00	83.637	0.011956	284.58	539.25	10.664	3.2657	5.3859	748.31	-0.053732	1.1640e-05	0.094093	supercritical
93.000	213.00	82.954	0.012055	287.86	544.63	10.722	3.2644	5.3829	750.26	-0.053813	1.1689e-05	0.094459	supercritical
94.000	213.00	82.281	0.012153	291.15	550.02	10.780	3.2632	5.3799	752.20	-0.053894	1.1738e-05	0.094826	supercritical
95.000	213.00	81.620	0.012252	294.43	555.39	10.837	3.2620	5.3770	754.15	-0.053975	1.1787e-05	0.095194	supercritical
96.000	213.00	80.970	0.012350	297.71	560.77	10.893	3.2608	5.3741	756.10	-0.054056	1.1836e-05	0.095563	supercritical
97.000	213.00	80.330	0.012449	300.99	566.14	10.949	3.2596	5.3713	758.05	-0.054137	1.1885e-05	0.095932	supercritical
98.000	213.00	79.701	0.012547	304.26	571.51	11.004	3.2584	5.3685	760.01	-0.054218	1.1934e-05	0.096302	supercritical
99.000	213.00	79.081	0.012645	307.54	576.88	11.058	3.2573	5.3658	761.96	-0.054299	1.1983e-05	0.096673	supercritical
100.00	213.00	78.471	0.012744	310.81	582.24	11.112	3.2561	5.3631	763.91	-0.054379	1.2032e-05	0.097044	supercritical
101.00	213.00	77.871	0.012842	314.07	587.61	11.166	3.2550	5.3604	765.87	-0.054460	1.2061e-05	0.097415	supercritical
102.00	213.00	77.280	0.012940	317.34	592.96	11.219	3.2539	5.3578	767.82	-0.054540	1.2090e-05	0.097787	supercritical
103.00	213.00	76.697	0.013038	320.61	598.32	11.271	3.2528	5.3552	769.78	-0.054620	1.2120e-05	0.098159	supercritical
104.00	213.00	76.124	0.013136	323.87	603.67	11.323	3.2518	5.3527	771.73	-0.054699	1.2149e-05	0.098532	supercritical
105.00	213.00	75.560	0.013235	327.13	609.03	11.374	3.2507	5.3502	773.69	-0.054778	1.2179e-05	0.098905	supercritical
106.00	213.00	75.004	0.013333	330.39	614.38	11.424	3.2496	5.3478	775.64	-0.054857	1.2209e-05	0.099278	supercritical
107.00	213.00	74.456	0.013431	333.65	619.72	11.475	3.2486	5.3454	777.60	-0.054935	1.2239e-05	0.099651	supercritical
108.00	213.00	73.916	0.013529	336.90	625.07	11.524	3.2476	5.3430	779.55	-0.055012	1.2269e-05	0.10002	supercritical
109.00	213.00	73.384	0.013627	340.16	630.41	11.574	3.2466	5.3407	781.50	-0.055090	1.2299e-05	0.10040	supercritical
110.00	213.00	72.860	0.013725	343.41	635.75	11.622	3.2456	5.3384	783.45	-0.055166	1.2329e-05	0.10077	supercritical
111.00	213.00	72.344	0.013823	346.66	641.08	11.671	3.2446	5.3362	785.41	-0.055242	1.2378e-05	0.10115	supercritical
112.00	213.00	71.835	0.013921	349.91	646.42	11.719	3.2437	5.3340	787.35	-0.055317	1.2427e-05	0.10152	supercritical
113.00	213.00	71.333	0.014019	353.15	651.75	11.766	3.2427	5.3318	789.30	-0.055392	1.2476e-05	0.10189	supercritical
114.00	213.00	70.838	0.014117	356.40	657.08	11.813	3.2418	5.3297	791.25	-0.055466	1.2525e-05	0.10227	supercritical
115.00	213.00	70.350	0.014215	359.64	662.41	11.859	3.2409	5.3276	793.19	-0.055540	1.2573e-05	0.10264	supercritical
116.00	213.00	69.869	0.014312	362.88	667.74	11.906	3.2400	5.3255	795.14	-0.055613	1.2622e-05	0.10302	supercritical
117.00	213.00	69.395	0.014410	366.12	673.06	11.951	3.2390	5.3235	797.08	-0.055685	1.2671e-05	0.10339	supercritical
118.00	213.00	68.927	0.014508	369.36	678.39	11.997	3.2382	5.3215	799.02	-0.055756	1.2719e-05	0.10376	supercritical
